entry	function	register	class	first reader / imports
97bc89fc	TPPStreamCompiler::generateAddressLoad	r7	PASS-vararg	97bc8a90 bl __ZN17TPPStreamCompiler21getOperandAsSou
97bc89fc	TPPStreamCompiler::generateAddressLoad	r8	PASS-vararg	97bc8a90 bl __ZN17TPPStreamCompiler21getOperandAsSou
97bc8f0c	TPPStreamCompiler::copyPropagateCompilerTemp	r7	PASS-vararg	97bc94ac bl __ZN17TPPStreamCompiler26removeOrphanedC
97bc94d0	TPPStreamCompiler::parseIntermediateTree	r5	PASS-no	97bc9520 bl 0x97c21b40	; symbol stub for: __ZN18Temp
97bc94d0	TPPStreamCompiler::parseIntermediateTree	r6	PASS-no	97bc9520 bl 0x97c21b40	; symbol stub for: __ZN18Temp
97bc94d0	TPPStreamCompiler::parseIntermediateTree	r7	PASS-no	97bc9520 bl 0x97c21b40	; symbol stub for: __ZN18Temp
97bc94d0	TPPStreamCompiler::parseIntermediateTree	r8	PASS-no	97bc9520 bl 0x97c21b40	; symbol stub for: __ZN18Temp
97bcdd50	_InterpreterEmulateOp	r5	PASS-no	97bcdd5c bl 0x97c1a258
97bd31e0	_InterpreterRun	r5	PASS-no	97bd31e8 bl 0x97c1a23c
97bd31e0	_InterpreterRun	r6	PASS-no	97bd31e8 bl 0x97c1a23c
97bd31e0	_InterpreterRun	r7	PASS-no	97bd31e8 bl 0x97c1a23c
97bd31e0	_InterpreterRun	r8	PASS-no	97bd31e8 bl 0x97c1a23c
97bdaef8	_PPCRuntimeCompilerWriteDestinationAV	r6	PASS-no	97bdaf30 bl 0x97c1e060	; symbol stub for: _memcpy
97bdaef8	_PPCRuntimeCompilerWriteDestinationAV	r7	PASS-no	97bdaf30 bl 0x97c1e060	; symbol stub for: _memcpy
97bdaef8	_PPCRuntimeCompilerWriteDestinationAV	r8	PASS-no	97bdaf30 bl 0x97c1e060	; symbol stub for: _memcpy
97bdaef8	_PPCRuntimeCompilerWriteDestinationAV	r9	PASS-no	97bdaf30 bl 0x97c1e060	; symbol stub for: _memcpy
97bdaef8	_PPCRuntimeCompilerWriteDestinationAV	r10	PASS-no	97bdaf30 bl 0x97c1e060	; symbol stub for: _memcpy
97bdc334	_PPCRuntimeCompilerCompileNO	r5	PASS-no	97bdc354 bl _PPCRuntimeCompilerInitialise
97bdc334	_PPCRuntimeCompilerCompileNO	r6	PASS-no	97bdc354 bl _PPCRuntimeCompilerInitialise
97bdc334	_PPCRuntimeCompilerCompileNO	r7	PASS-no	97bdc354 bl _PPCRuntimeCompilerInitialise
97bdc334	_PPCRuntimeCompilerCompileNO	r8	PASS-no	97bdc354 bl _PPCRuntimeCompilerInitialise
97bdc334	_PPCRuntimeCompilerCompileNO	r9	PASS-no	97bdc354 bl _PPCRuntimeCompilerInitialise
97bdc334	_PPCRuntimeCompilerCompileNO	r10	PASS-no	97bdc354 bl _PPCRuntimeCompilerInitialise
97bdda38	_PPCRuntimeCompilerCompileAV	r5	PASS-no	97bdda60 bl _PPCRuntimeCompilerInitialise
97bdda38	_PPCRuntimeCompilerCompileAV	r6	PASS-no	97bdda60 bl _PPCRuntimeCompilerInitialise
97bdda38	_PPCRuntimeCompilerCompileAV	r7	PASS-no	97bdda60 bl _PPCRuntimeCompilerInitialise
97bdda38	_PPCRuntimeCompilerCompileAV	r8	PASS-no	97bdda60 bl _PPCRuntimeCompilerInitialise
97bdda38	_PPCRuntimeCompilerCompileAV	r9	PASS-no	97bdda60 bl _PPCRuntimeCompilerInitialise
97bdda38	_PPCRuntimeCompilerCompileAV	r10	PASS-no	97bdda60 bl _PPCRuntimeCompilerInitialise
97c08730	_HashSetAdd	r5	PASS-indirect	97c0875c bctrl 
97c08730	_HashSetAdd	r6	PASS-indirect	97c0875c bctrl 
